# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2024-09-14 15:51:57 112587703 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
   124     0.124000  0.016944579  0.000136049 -0.023044277 -0.999734445  0.000000000000000000 -30.007968754  21.399311869  30.007968754  0.000000998872737     3.242181 21.399311869250148 
   125     0.125000  0.017080628  0.000136000 -0.023230623 -0.999730133  0.000000000000007105 -30.008098205  21.219892728  30.008098205  0.000000998298905     3.256872 21.219892727622813 
   126     0.126000  0.017216628  0.000136105 -0.023416934 -0.999725786  0.000000000000000000 -30.008228676  21.049779990  30.008228676  0.000000999978735     3.271695 21.049779989671613 
   127     0.127000  0.017352732  0.000136053 -0.023603420 -0.999721400  0.000000000000000000 -30.008360315  20.912349025  30.008360315  0.000000999368318     3.286669 20.912349024997390 
   128     0.128000  0.017488786  0.000136001 -0.023789869 -0.999716981  0.000000000000000000 -30.008492973  20.759639947  30.008492973  0.000000998743230     3.301776 20.759639946875019 
   129     0.129000  0.017624787  0.000135948 -0.023976278 -0.999712528  0.000000000000000000 -30.008626648  20.615449873  30.008626648  0.000000998103698     3.317016 20.615449872518177 
   130     0.130000  0.017760734  0.000136047 -0.024162648 -0.999708041  0.000000000000000000 -30.008761340  20.479513855  30.008761340  0.000000999708099     3.332391 20.479513854664511 
   131     0.131000  0.017896782  0.000135992 -0.024349187 -0.999703515  0.000000000000000000 -30.008897200  20.374530188  30.008897200  0.000000999033540     3.347916 20.374530188411732 
   132     0.132000  0.018032773  0.000135935 -0.024535683 -0.999698955  0.000000000000000000 -30.009034075  20.254017332  30.009034075  0.000000998345181     3.363576 20.254017331879481 
   133     0.133000  0.018168708  0.000136031 -0.024722136 -0.999694361  0.000000000000000000 -30.009171964  20.141019219  30.009171964  0.000000999893823     3.379371 20.141019218869793 
   134     0.134000  0.018304739  0.000135972 -0.024908753 -0.999689729  0.000000000000000000 -30.009311023  20.057823049  30.009311023  0.000000999171583     3.395318 20.057823048995616 
   135     0.135000  0.018440710  0.000135912 -0.025095324 -0.999685063  0.000000000000000000 -30.009451094  19.958862408  30.009451094  0.000000998436185     3.411400 19.958862408493871 
   136     0.136000  0.018576622  0.000136004 -0.025281848 -0.999680363 -0.000000000000007105 -30.009592176  19.866718922  30.009592176  0.000000999930523     3.427618 19.866718922017412 
   137     0.137000  0.018712626  0.000135942 -0.025468532 -0.999675624 -0.000000000000007105 -30.009734428  19.803341027  30.009734428  0.000000999162398     3.443990 19.803341026890742 
   138     0.138000  0.018848568  0.000135879 -0.025655166 -0.999670852  0.000000000000000000 -30.009877690  19.723931229  30.009877690  0.000000998381757     3.460497 19.723931229344238 
   139     0.139000  0.018984447  0.000135967 -0.025841749 -0.999666046  0.000000000000000000 -30.010021960  19.650685827  30.010021960  0.000000999823261     3.477141 19.650685827310888 
   140     0.140000  0.019120414  0.000135902 -0.026028489 -0.999661201  0.000000000000000000 -30.010167400  19.605279034  30.010167400  0.000000999011049     3.493939 19.605279034407452 
   141     0.141000  0.019256317  0.000135836 -0.026215176 -0.999656323 -0.000000000000007105 -30.010313848  19.543550139  30.010313848  0.000000998186961     3.510875 19.543550138799937 
   142     0.142000  0.019392153  0.000135921 -0.026401808 -0.999651412 -0.000000000000007105 -30.010461301  19.487379054  30.010461301  0.000000999577115     3.527947 19.487379053566123 
   143     0.143000  0.019528075  0.000135853 -0.026588592 -0.999646461  0.000000000000000000 -30.010609925  19.458223199  30.010609925  0.000000998722613     3.545175 19.458223199242397 
   144     0.144000  0.019663928  0.000135785 -0.026775320 -0.999641477  0.000000000000000000 -30.010759552  19.412439666  30.010759552  0.000000997856868     3.562541 19.412439666212755 
   145     0.145000  0.019799713  0.000135866 -0.026961991 -0.999636459 -0.000000000000007105 -30.010910183  19.371653546  30.010910183  0.000000999197165     3.580045 19.371653546142120 
   146     0.146000  0.019935579  0.000135796 -0.027148810 -0.999631403  0.000000000000000000 -30.011061984  19.357156442  30.011061984  0.000000998302161     3.597706 19.357156442473489 
   147     0.147000  0.020071374  0.000135875 -0.027335570 -0.999626313  0.000000000000000000 -30.011214786  19.325716486  30.011214786  0.000000999608528     3.615505 19.325716486458866 
   148     0.148000  0.020207249  0.000135802 -0.027522476 -0.999621185  0.000000000000000000 -30.011368759  19.320138499  30.011368759  0.000000998685003     3.633462 19.320138498652106 
   149     0.149000  0.020343051  0.000135879 -0.027709320 -0.999616023  0.000000000000000000 -30.011523732  19.297407762  30.011523732  0.000000999958037     3.651558 19.297407761637686 
   150     0.150000  0.020478930  0.000135804 -0.027896307 -0.999610822  0.000000000000000000 -30.011679877  19.300149068  30.011679877  0.000000999006730     3.669814 19.300149067527528 
   151     0.151000  0.020614734  0.000135729 -0.028083231 -0.999605588  0.000000000000000000 -30.011837020  19.285525800  30.011837020  0.000000998045618     3.688208 19.285525800177616 
   152     0.152000  0.020750463  0.000135803 -0.028270090 -0.999600321  0.000000000000007105 -30.011995160  19.274773550  30.011995160  0.000000999272182     3.706742 19.274773550289837 
   153     0.153000  0.020886266  0.000135726 -0.028457089 -0.999595015  0.000000000000000000 -30.012154471  19.288965676  30.012154471  0.000000998284428     3.725437 19.288965676312664 
   154     0.154000  0.021021992  0.000135797 -0.028644021 -0.999589676  0.000000000000007105 -30.012314777  19.285470145  30.012314777  0.000000999479215     3.744271 19.285470144875916 
   155     0.155000  0.021157790  0.000135719 -0.028831091 -0.999584298  0.000000000000000000 -30.012476255  19.306614156  30.012476255  0.000000998465553     3.763266 19.306614155831348 
   156     0.156000  0.021293508  0.000135788 -0.029018092 -0.999578887 -0.000000000000007105 -30.012638727  19.309858227  30.012638727  0.000000999629164     3.782402 19.309858226667309 
   157     0.157000  0.021429296  0.000135708 -0.029205228 -0.999573436  0.000000000000007105 -30.012802371  19.337467379  30.012802371  0.000000998590322     3.801700 19.337467378905515 
   158     0.158000  0.021565004  0.000135775 -0.029392294 -0.999567953  0.000000000000000000 -30.012967006  19.346965053  30.012967006  0.000000999723359     3.821139 19.346965052540632 
   159     0.159000  0.021700779  0.000135693 -0.029579493 -0.999562431  0.000000000000000000 -30.013132814  19.380581897  30.013132814  0.000000998660061     3.840741 19.380581896998983 
   160     0.160000  0.021836471  0.000135758 -0.029766619 -0.999556876 -0.000000000000007105 -30.013299613  19.395876972  30.013299613  0.000000999763126     3.860485 19.395876971840309 
