# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-21 07:25:40 522221225 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
    46     0.046000  0.006305600  0.000136836  0.947466222  0.319855840  0.000000000000000000 -31.663397923  31.663397923  31.663397923  0.000000999398375   100.184519 31.663397922782412 
    47     0.047000  0.006442436  0.000136864  0.947439345  0.319935442  0.000000000000056843 -31.664296140  31.664296140  31.664296140  0.000000999960120   100.059910 31.664296139662547 
    48     0.048000  0.006579300  0.000136846  0.947412443  0.320015099  0.000000000000056843 -31.665195268  31.665195268  31.665195268  0.000000999834457    99.935403 31.665195268388519 
    49     0.049000  0.006716147  0.000136828  0.947385524  0.320094782  0.000000000000000000 -31.666095001  31.666095001  31.666095001  0.000000999700923    99.811039 31.666095000693151 
    50     0.050000  0.006852974  0.000136808  0.947358588  0.320174491  0.000000000000000000 -31.666995334  31.666995334  31.666995334  0.000000999559514    99.686819 31.666995333504008 
    51     0.051000  0.006989783  0.000136789  0.947331637  0.320254227  0.000000000000000000 -31.667896264  31.667896264  31.667896264  0.000000999410231    99.562743 31.667896263737070 
    52     0.052000  0.007126571  0.000136816  0.947304669  0.320333989 -0.000000000000056843 -31.668797788  31.668797788  31.668797788  0.000000999954941    99.438812 31.668797788296747 
    53     0.053000  0.007263388  0.000136796  0.947277675  0.320413804  0.000000000000000000 -31.669700221  31.669700221  31.669700221  0.000000999794224    99.314982 31.669700220957239 
    54     0.054000  0.007400183  0.000136775  0.947250666  0.320493645  0.000000000000000000 -31.670603244  31.670603244  31.670603244  0.000000999625624    99.191298 31.670603244162990 
    55     0.055000  0.007536958  0.000136753  0.947223640  0.320573511  0.000000000000000000 -31.671506855  31.671506855  31.671506855  0.000000999449140    99.067759 31.671506854788554 
    56     0.056000  0.007673711  0.000136780  0.947196598  0.320653403 -0.000000000000056843 -31.672411050  31.672411050  31.672411050  0.000000999980653    98.944366 31.672411049696915 
    57     0.057000  0.007810491  0.000136757  0.947169531  0.320733347 -0.000000000000056843 -31.673316150  31.673316150  31.673316150  0.000000999792705    98.821074 31.673316149895911 
    58     0.058000  0.007947248  0.000136734  0.947142448  0.320813315  0.000000000000000000 -31.674221831  31.674221831  31.674221831  0.000000999596866    98.697930 31.674221830529639 
    59     0.059000  0.008083983  0.000136711  0.947115349  0.320893308  0.000000000000000000 -31.675128088  31.675128088  31.675128088  0.000000999393136    98.574932 31.675128088431222 
    60     0.060000  0.008220694  0.000136737  0.947088235  0.320973325  0.000000000000000000 -31.676034920  31.676034920  31.676034920  0.000000999911340    98.452081 31.676034920422346 
    61     0.061000  0.008357430  0.000136712  0.947061095  0.321053395  0.000000000000056843 -31.676942655  31.676942655  31.676942655  0.000000999696120    98.329332 31.676942654769711 
    62     0.062000  0.008494143  0.000136688  0.947033940  0.321133487 -0.000000000000056843 -31.677850959  31.677850959  31.677850959  0.000000999473002    98.206731 31.677850959291668 
    63     0.063000  0.008630831  0.000136713  0.947006769  0.321213603  0.000000000000000000 -31.678759831  31.678759831  31.678759831  0.000000999981863    98.084278 31.678759830780173 
    64     0.064000  0.008767544  0.000136687  0.946979573  0.321293772  0.000000000000056843 -31.679669603  31.679669603  31.679669603  0.000000999747238    97.961928 31.679669602766889 
    65     0.065000  0.008904231  0.000136661  0.946952362  0.321373963  0.000000000000000000 -31.680579938  31.680579938  31.680579938  0.000000999504711    97.839727 31.680579937757312 
    66     0.066000  0.009040892  0.000136634  0.946925136  0.321454177  0.000000000000000000 -31.681490833  31.681490833  31.681490833  0.000000999254283    97.717674 31.681490832513582 
    67     0.067000  0.009177526  0.000136659  0.946897894  0.321534412  0.000000000000000000 -31.682402284  31.682402284  31.682402284  0.000000999749650    97.595770 31.682402283786359 
    68     0.068000  0.009314185  0.000136631  0.946870627  0.321614700  0.000000000000000000 -31.683314632  31.683314632  31.683314632  0.000000999487693    97.473969 31.683314632409058 
    69     0.069000  0.009450816  0.000136655  0.946843346  0.321695009  0.000000000000000000 -31.684227534  31.684227534  31.684227534  0.000000999977697    97.352318 31.684227533518623 
    70     0.070000  0.009587471  0.000136627  0.946816039  0.321775370  0.000000000000000000 -31.685141331  31.685141331  31.685141331  0.000000999704198    97.230771 31.685141331219249 
    71     0.071000  0.009724098  0.000136598  0.946788717  0.321855753  0.000000000000056843 -31.686055677  31.686055677  31.686055677  0.000000999422793    97.109373 31.686055677348175 
    72     0.072000  0.009860696  0.000136621  0.946761381  0.321936156  0.000000000000000000 -31.686970569  31.686970569  31.686970569  0.000000999903288    96.988126 31.686970568608015 
    73     0.073000  0.009997317  0.000136592  0.946734019  0.322016610  0.000000000000000000 -31.687886354  31.687886354  31.687886354  0.000000999610327    96.866983 31.687886354409969 
    74     0.074000  0.010133908  0.000136561  0.946706643  0.322097086  0.000000000000000000 -31.688802681  31.688802681  31.688802681  0.000000999309459    96.745991 31.688802681236329 
    75     0.075000  0.010270470  0.000136584  0.946679252  0.322177581  0.000000000000000000 -31.689719546  31.689719546  31.689719546  0.000000999780390    96.625150 31.689719545760095 
    76     0.076000  0.010407053  0.000136553  0.946651836  0.322258127 -0.000000000000056843 -31.690637303  31.690637303  31.690637303  0.000000999467954    96.504413 31.690637302712716 
    77     0.077000  0.010543606  0.000136575  0.946624406  0.322338693  0.000000000000000000 -31.691555593  31.691555593  31.691555593  0.000000999933432    96.383827 31.691555593208260 
    78     0.078000  0.010680182  0.000136543  0.946596951  0.322419311  0.000000000000000000 -31.692474775  31.692474775  31.692474775  0.000000999609418    96.263347 31.692474775274601 
    79     0.079000  0.010816725  0.000136511  0.946569482  0.322499947 -0.000000000000056843 -31.693394487  31.693394487  31.693394487  0.000000999277496    96.143018 31.693394486700271 
